Packed MPC designation,Semimajor axis au barycentric,Eccentricity barycentric,Inclination ecliptic J2000 barycentric degrees,Longitude of ascending node ecliptic J2000 barycentric degrees,Argument of perihelion ecliptic J2000 barycentric degrees,Mean anomaly ecliptic J2000 barycentric degrees,Epoch JD,Barycentric element source
15788,39.31565615319556,0.3197373282854018,1.937427241909267,354.8328976591335,79.15643796992453,359.799675133838,2459864.5,JPL Horizons via Astroquery
15789,39.5265588715507,0.185679641206322,5.156773053667584,354.6510322908849,316.9879765618514,75.10230570591092,2459864.5,JPL Horizons via Astroquery
15810,39.35345596377566,0.1170046393932135,3.803154214443359,144.7522787051178,102.0850195863364,38.90529724650344,2459864.5,JPL Horizons via Astroquery
15820,39.45536537443616,0.3164954763015314,12.13724266170923,317.3899617741143,98.98870607388383,5.415680237606453,2459864.5,JPL Horizons via Astroquery
15875,39.3823454856192,0.3306001219335512,5.691537898969721,316.7695678094425,75.26836630753267,32.70933938880903,2459864.5,JPL Horizons via Astroquery
19299,39.56812399615337,0.2577803426602189,4.737228567885482,15.9634170258337,30.15280562753287,16.81925208494367,2459864.5,JPL Horizons via Astroquery
20108,39.453547626203,0.1461181469800575,19.55650401585795,188.0094702778027,142.8896232589795,68.70005610618088,2459864.5,JPL Horizons via Astroquery
24952,39.35422697539147,0.2260389060407137,16.56355402460823,346.8322528107002,82.06453411522128,347.4598406960945,2459864.5,JPL Horizons via Astroquery
28978,39.4982207764374,0.2440565642266829,19.63019996323611,71.03051414328063,299.8566325312107,290.4691614725475,2459864.5,JPL Horizons via Astroquery
32929,39.63609340957573,0.2630345154345878,4.834061365603999,342.0591936948585,25.15435469932927,23.65695152635613,2459864.5,JPL Horizons via Astroquery
33340,39.24946131015667,0.2518428239795497,3.037539686028667,127.9566241999221,324.265162313039,12.96173087505225,2459864.5,JPL Horizons via Astroquery
38628,39.41336926145559,0.2760797803353605,15.47375134614917,169.3231716209135,67.88192614720658,11.15230774292359,2459864.5,JPL Horizons via Astroquery
47171,39.40570449279011,0.224525803631797,8.415316080565056,97.10431533220074,295.0009890664015,10.82641057535383,2459864.5,JPL Horizons via Astroquery
47932,39.34077931145769,0.2810061335368739,10.81464187813426,26.0967530743166,195.149630613784,18.58163170838624,2459864.5,JPL Horizons via Astroquery
55638,39.29461445262815,0.2880356837511057,16.32717316589253,199.8024914584579,206.9808330003099,30.77491706429422,2459864.5,JPL Horizons via Astroquery
69986,39.43645457951839,0.2249705468203254,13.93293552838853,233.9768525265595,146.3078511396883,52.85960620662068,2459864.5,JPL Horizons via Astroquery
69990,39.23247477562897,0.1863692323337797,6.577897022250062,237.1633964144308,141.6604649625508,56.10448007957073,2459864.5,JPL Horizons via Astroquery
84719,39.4341396831888,0.2644617468891063,14.01230183144535,23.08269138351102,288.3428607374581,82.62249499072125,2459864.5,JPL Horizons via Astroquery
84922,39.42252793394965,0.07586849947368057,14.79028152357895,302.7227951688675,112.5658029800705,26.90740061527174,2459864.5,JPL Horizons via Astroquery
90482,39.27890106200537,0.2238651206130642,20.5675340613188,268.5832361122878,73.01819992113305,184.3997039913695,2459864.5,JPL Horizons via Astroquery
91133,39.35420640545558,0.228098996511124,5.941859641235406,50.23944907664017,180.813112187839,34.93517338056058,2459864.5,JPL Horizons via Astroquery
91205,39.26467188536324,0.1323817266615931,10.60517574356959,223.8494419856569,140.8168482870262,69.48112304857104,2459864.5,JPL Horizons via Astroquery
B8228,39.3914319246654,0.1216178100803443,14.6636205249947,10.73215179024406,19.63270589543348,34.63626938866069,2459864.5,JPL Horizons via Astroquery
B9069,39.1250572413159,0.2406418035265016,2.36064450415274,45.37039771783893,280.5123404440309,327.134209611511,2459864.5,JPL Horizons via Astroquery
B9473,39.58870933558963,0.285353789451406,3.671833972850259,36.37456680443714,47.44310014686472,352.096495224003,2459864.5,JPL Horizons via Astroquery
C0216,39.37381860817956,0.3150258143336395,29.28004987746906,25.7335276226972,204.5989962720694,6.613830752379013,2459864.5,JPL Horizons via Astroquery
C6155,39.41646764296262,0.2925070459870596,5.976812743921921,319.4558799254598,129.3500306014601,20.87073410403266,2459864.5,JPL Horizons via Astroquery
C9746,39.29048994702559,0.2680797870215805,1.474873031527511,171.5848539130286,34.82035093638351,15.35567863765676,2459864.5,JPL Horizons via Astroquery
D1318,39.34211622025828,0.1740452940334723,13.69820792812421,2.083384274495914,171.274099846066,37.33375388492571,2459864.5,JPL Horizons via Astroquery
D3067,39.55374893473402,0.2573471805398316,8.884077115385677,209.4932786084224,305.0164906663323,61.53367088453912,2459864.5,JPL Horizons via Astroquery
D4340,39.48878747466553,0.2490147410493204,17.14069762008786,110.3010040001693,113.7734318537601,47.91593496145616,2459864.5,JPL Horizons via Astroquery
D9775,39.34956604909603,0.1929270473510996,6.489576248539102,162.5356084022419,209.2175641214379,17.30265187784797,2459864.5,JPL Horizons via Astroquery
G8700,39.35335502706099,0.2305105663266518,4.991077769359874,154.7332669698103,49.80459140371575,27.98278132082175,2459864.5,JPL Horizons via Astroquery
G9071,39.28382079769669,0.19159054468032,5.637343773369423,287.5255425437053,336.1267213293195,347.7531163091078,2459864.5,JPL Horizons via Astroquery
K8996,39.4698129610794,0.1790370601354367,13.56476089506678,252.0296811091339,15.11606363938772,237.6480015123978,2459864.5,JPL Horizons via Astroquery
U6792,39.5019852169668,0.1564532570163381,15.61624031654929,248.4831591276727,64.78389455971553,335.4282521636255,2459864.5,JPL Horizons via Astroquery
U7463,39.14848565364755,0.2093330914256178,1.369448351009701,267.9007660939512,280.7573482028187,281.7971693149414,2459864.5,JPL Horizons via Astroquery
Y1520,39.21390993667032,0.2644240031279622,11.2822042466858,196.7032805001276,205.3467164582382,7.964539981845802,2459864.5,JPL Horizons via Astroquery
c5185,39.19886897451741,0.1970677198194615,3.714382959359595,170.3129184485882,188.4769080609108,36.79878708690096,2459864.5,JPL Horizons via Astroquery
c5445,39.42384892495885,0.1499908253974414,3.662727681289454,286.7611492570859,266.4204513786643,132.7333158021348,2459864.5,JPL Horizons via Astroquery
h8028,39.4094620224313,0.2794124184856736,3.134057451684356,226.1592256248459,300.9369495153971,34.5316524133221,2459864.5,JPL Horizons via Astroquery
i4745,39.34801756261666,0.1833533674203457,15.080522007072,207.4951282408245,122.8364893860287,302.2801439971533,2459864.5,JPL Horizons via Astroquery
j0265,39.18586378856334,0.2555050367068406,4.145543687090217,10.37794189188786,100.5314397431047,1.637712137597473,2459864.5,JPL Horizons via Astroquery
j5502,39.23130125621623,0.2230769097166073,12.0445235019561,136.030553112021,145.4717922310341,118.1536452137181,2459864.5,JPL Horizons via Astroquery
j6826,39.32870464799097,0.2763273674557052,28.53926534014921,96.35138334816811,312.7618387675039,23.15518223726624,2459864.5,JPL Horizons via Astroquery
k9362,39.55585103897437,0.2825394674359046,17.51826303810599,223.005986770939,52.91840557865413,357.4114031358493,2459864.5,JPL Horizons via Astroquery
k9372,39.37665392263048,0.111140896775274,22.35176556570066,164.1841440648396,42.19027056728142,163.1492993892697,2459864.5,JPL Horizons via Astroquery
k9421,39.39072934615054,0.1100593332487571,18.09944306565327,106.6790005829301,110.4286203360604,290.987191241059,2459864.5,JPL Horizons via Astroquery
k9506,39.50396863160083,0.2148253286570019,1.911079824192646,91.73083544392755,170.3897916171705,355.4844969055222,2459864.5,JPL Horizons via Astroquery
k9704,39.43281642866302,0.1501781990615577,1.773806168278435,24.40608805239404,212.4217941874593,343.6808954571167,2459864.5,JPL Horizons via Astroquery
k9707,39.42920244138042,0.23557286147318,14.68639076632891,217.0790034137712,349.2488235727093,28.62872335519144,2459864.5,JPL Horizons via Astroquery
k9708,39.32909771384181,0.3246142374400422,18.25094416307446,205.4028655568267,85.90193639983308,346.5231720054766,2459864.5,JPL Horizons via Astroquery
k9987,39.43860508598161,0.3024338566137636,12.45023611005971,222.563158415494,102.2106030821942,318.4625922337279,2459864.5,JPL Horizons via Astroquery
n1767,39.48942103859368,0.07697295406158094,30.12523206006225,65.51286350182883,314.6481314714073,23.96869506044478,2459864.5,JPL Horizons via Astroquery
o0833,39.37189620337839,0.1037139702307849,6.942088130642174,204.4358433598272,352.2121790364242,26.61502880500847,2459864.5,JPL Horizons via Astroquery
o0834,39.1701756620552,0.1785266810799931,9.878226540890811,44.98990302236672,12.12746565856938,167.4219829926697,2459864.5,JPL Horizons via Astroquery
o0883,39.37059659437321,0.2554219250663016,19.81497726486617,214.8933228355997,273.8804002134524,98.45389062870161,2459864.5,JPL Horizons via Astroquery
o0884,39.41571520142817,0.2565622114070812,20.04630014360207,83.10186461670912,186.4089826435638,356.6639562813949,2459864.5,JPL Horizons via Astroquery
o0885,39.29280627656139,0.2310079562793694,7.250616578554151,145.7157303606978,25.42172871320254,62.06199241295309,2459864.5,JPL Horizons via Astroquery
o3858,39.40231349051943,0.2842873496287762,11.94155976463588,228.8730923138756,346.0669785028651,43.58438789074788,2459864.5,JPL Horizons via Astroquery
o4555,39.40631067419773,0.2425387496116139,18.79736214309414,158.7517815707225,172.7673376591198,47.53630884422527,2459864.5,JPL Horizons via Astroquery
o8823,39.33653180257271,0.2962292477733178,19.24553297773554,20.56383018594529,240.0034903564469,109.6042120585028,2459864.5,JPL Horizons via Astroquery
q3618,39.39438977827253,0.2292688193973959,12.92549025108447,82.24251834823747,275.5746430177488,37.46249784797943,2459864.5,JPL Horizons via Astroquery
